,artist_1,artist_2,artist_3,artist_4,artist_5
0,Ray Charles,,,,
1,The Isley Brothers,The Limeliters,,,
2,Bob Dylan,The Coasters,,,
3,Bo Diddley,Ella Fitzgerald,The Shirelles,,
4,The Crystals,,,,
5,Dionne Warwick,James Brown,Procol Harum,The Yardbirds,
6,Gordon Lightfoot,Janis Joplin,Smokey Robinson,,
7,Jefferson Airplane,John Mayall,John Sebastian,Judy Collins,Ray Charles
8,Boz Scaggs,Gordon Lightfoot,Laura Nyro,Poco,Sha Na Na
9,Blue Oyster Cult,Bonnie Raitt,Ike & Tina Turner,,
10,Country Joe McDonald,Todd Rundgren,,,
11,Bruce Springsteen,,,,
12,Harry Chapin,John Mayall,Richie Havens,,
13,J.D. Souther,,,,
14,Bonnie Raitt,NRBQ,,,
15,The Tubes,,,,
16,Robin Lane & The Chartbusters,,,,
17,NRBQ,,,,
18,Graham Parker,,,,
19,NRBQ,U2,,,
20,Paul Young,,,,
21,R.E.M.,,,,
22,Los Lobos,,,,
23,Elvis Costello,,,,
24,NRBQ,The Wailers,,,
25,A Tribe Called Quest,De La Soul,,,
26,"10,000 Maniacs",Black Sheep,,,
27,Digable Planets,Indigo Girls,,,
28,Coolio,,,,
29,Bo Diddley,Bob Dylan,,,
30,Grandmaster Flash,KRS-One,,,
31,Busta Rhymes,Common,,,
32,Kelis,Wyclef Jean,,,
33,The Roots,,,,
34,Lisa Loeb,The Wallflowers,,,
35,Ben Folds,Howie Day,Matt Nathanson,Talib Kweli,The Shins
36,Common,OK Go,,,
37,The Flaming Lips,The Roots,,,
38,Lupe Fiasco,M.I.A.,,,
39,Nas,,,,
40,MGMT,Snoop Dogg,The Black Keys,Wale,
41,Wyclef Jean,,,,
42,Cam'ron,Childish Gambino,,,
43,Kendrick Lamar,,,,
44,Lauryn Hill,,,,
45,Modest Mouse,Pusha T,Waka Flocka Flame,,
46,Fetty Wap,,,,
47,Erykah Badu,Young Thug,,,
